ID,Colony,Treatment,Trial,Success,Ball type,solving time,smartness
29,4,2,3,1,1,28,0.25
29,4,2,4,1,1,27,0.25
29,4,2,5,1,1,44,0.25
29,4,2,6,1,1,7,0.25
29,4,2,7,1,1,280,0.25
29,4,2,8,1,1,244,0.25
29,4,2,9,0,,,0.25
29,4,2,10,1,3,15,0.25
29,4,2,11,1,4,98,0.25
31,6,2,1,1,1,25,0.25
31,6,2,2,1,1,9,0.25
31,6,2,3,0,,,0.25
31,6,2,4,0,,,0.25
31,6,2,5,1,1,245,0.25
31,6,2,6,1,1,5,0.25
31,6,2,7,1,1,15,0.25
31,6,2,8,1,3,62,0.25
31,6,2,9,1,1,169,0.25
31,6,2,10,0,,,0.25
31,6,2,11,1,4,1,0.25
32,4,2,1,1,1,1,0.25
32,4,2,2,1,3,81,0.25
32,4,2,3,1,3,267,0.25
32,4,2,4,1,1,3,0.25
32,4,2,5,1,3,151,0.25
32,4,2,6,1,1,119,0.25
32,4,2,7,1,1,20,0.25
32,4,2,8,1,1,31,0.25
32,4,2,9,1,1,39,0.25
32,4,2,10,1,1,1,0.25
32,4,2,11,1,4,48,0.25
33,6,2,1,1,3,203,0.25
33,6,2,2,1,1,230,0.25
33,6,2,3,1,1,139,0.25
33,6,2,4,1,1,71,0.25
33,6,2,5,1,1,121,0.25
33,6,2,6,1,1,49,0.25
33,6,2,7,1,1,39,0.25
33,6,2,8,1,2,8,0.25
33,6,2,9,1,1,49,0.25
33,6,2,10,1,1,53,0.25
33,6,2,11,1,4,24,0.25
10,7,3,1,1,1,88,0.9
10,7,3,2,1,1,193,0.9
10,7,3,3,0,,,0.9
10,7,3,4,0,,,0.9
10,7,3,5,0,,,0.9
10,7,3,6,1,1,24,0.9
10,7,3,7,0,,,0.9
10,7,3,8,0,,,0.9
10,7,3,9,0,,,0.9
10,7,3,10,0,,,0.9
13,7,3,1,1,1,239,0.9
13,7,3,2,0,,,0.9
13,7,3,3,0,,,0.9
13,7,3,4,0,,,0.9
13,7,3,5,1,1,227,0.9
13,7,3,6,1,1,264,0.9
13,7,3,7,0,,,0.9
13,7,3,8,0,,,0.9
13,7,3,9,0,,,0.9
13,7,3,10,0,,,0.9
5,7,3,1,0,,,0.9
5,7,3,2,0,,,0.9
5,7,3,3,0,,,0.9
5,7,3,4,0,,,0.9
5,7,3,5,1,1,30,0.9
5,7,3,6,0,,,0.9
5,7,3,7,0,,,0.9
5,7,3,8,0,,,0.9
5,7,3,9,0,,,0.9
5,7,3,10,0,,,0.9
60,7,3,1,0,,,0.9
60,7,3,2,0,,,0.9
60,7,3,3,0,,,0.9
60,7,3,4,0,,,0.9
60,7,3,5,0,,,0.9
60,7,3,6,0,,,0.9
60,7,3,7,0,,,0.9
60,7,3,8,0,,,0.9
60,7,3,9,0,,,0.9
60,7,3,10,0,,,0.9
9,7,3,1,1,1,11,0.9
9,7,3,2,0,,,0.9
9,7,3,3,1,1,47,0.9
9,7,3,4,0,,,0.9
9,7,3,5,1,1,59,0.9
9,7,3,6,0,,,0.9
9,7,3,7,0,,,0.9
9,7,3,8,0,,,0.9
9,7,3,9,0,,,0.9
9,7,3,10,0,,,0.9
84,8,3,1,1,1,41,0.25
84,8,3,2,0,,,0.25
84,8,3,3,1,1,209,0.25
84,8,3,4,0,,,0.25
84,8,3,5,1,2,109,0.25
84,8,3,6,1,2,27,0.25
84,8,3,7,1,1,44,0.25
84,8,3,8,1,1,145,0.25
84,8,3,9,1,1,118,0.25
84,8,3,10,1,2,272,0.25
84,8,3,11,1,4,30,0.25
45,8,3,1,0,,,0.25
45,8,3,2,0,,,0.25
45,8,3,3,0,,,0.25
45,8,3,4,0,,,0.25
45,8,3,5,0,,,0.25
45,8,3,6,1,1,124,0.25
45,8,3,7,0,,,0.25
